X,X DKV 1
,X DKV 2
,X DKV 3
,X DKV 4
,X DKV 5
,X LK 1
,X LK 2
,X TF 1
,X TF 2
,X TJK 3
,X TJKT 1
,X TJKT 4
,X TJKT 5
,X TKJT 2
,X TE
,X TO 1
,X TO 2
,X TO 3
,X TO 4
,X TO 5
,X TO 6
,X TO 7
,X TO 8
,X TO 10
,X TO 11
,X TO 12
XI,XI DKV 1
,XI DKV 2
,XI LPK3
,XI LPKC
,XI TAV 1
,XI TAV 2
,XI TGF
,XI TKJ 1
,XI TKJ 2
,XI TKJ 3
,XI TKJ 4
,XI TKJ 5
,XI TKR 1
,XI TKR 2
,XI TKR 3
,XI TKR 4
,XI TKR 5
,XI TSM 1
,XI TSM 2
,XI TSM 3
,XI TSM 4
,XI TSM 5
XII,XII DKV 1
,XII DKV 2
,XII LPK3
,XII LPKC
,XII TAV
,XII TGF
,XII TKJ 1
,XII TKJ 2
,XII TKJ 3
,XII TKJ 4
,XII TKJ 5
,XII TKR 1
,XII TKR 2
,XII TKR 3
,XII TKR 4
,XII TKR 5
,XII TSM 1
,XII TSM 2
,XII TSM 3
,XII TSM 4
,XII TSM 5
